title,uri,status
TAK TU SOM CHORDS by Heľenine Oči @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/4096426,Downloaded
POHODA CHORDS by Kabát @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/1799118,Downloaded
Team - Držím ti miesto [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=1521&idskupiny=201,Downloaded
Polemic - Ako to prežijem? [akordy na Supermusic],https://supermusic.cz/skupina.php?idpiesne=3697&sid=,Downloaded
Polemic - Komplikovaná [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=2310&sid=,Downloaded
Polemic - Ona je taká [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=1366&sid=,Downloaded
Polemic - Škandál [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=10784&sid=,Downloaded
Polemic - Baba-ryba [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=1362&sid=,Downloaded
Polemic - Nebudem Tu Večne [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=96238&sid=,Downloaded
Daniel Landa - Krysař [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=1160&sid=,Downloaded
Daniel Landa - Pozor milé dámy [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=107748&sid=,Downloaded
Daniel Landa - Hraj s námi hru (Čaruj) [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=109458&sid=,Downloaded
Jaromír Nohavica - Museum [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=56744&sid=,Downloaded
SCHREI NACH LIEBE CHORDS by Die Ärzte @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/380738,Downloaded
POCAHONTAS CHORDS by AnnenMayKantereit @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/annenmaykantereit/pocahontas-chords-1813873,Downloaded
AUSGEHEN CHORDS (ver 2) by AnnenMayKantereit @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/annenmaykantereit/ausgehen-chords-2986439,Downloaded
(1) MINECRAFT - SWEDEN TAB (ver 2) by Misc Computer Games/C418 @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/misc-computer-games/minecraft-sweden-tabs-2608188,Downloaded
"KIERTORADAT CHORDS by Arppa for guitar, ukulele, piano at Ultimate-Guitar",https://tabs.ultimate-guitar.com/tab/arppa/kiertoradat-chords-3718430,Downloaded
HAUKI CHORDS by Arppa @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/arppa/hauki-chords-3825479,Downloaded
"KARTTA VÄÄRINPÄIN CHORDS by Arppa for guitar, ukulele, piano at Ultimate-Guitar",https://tabs.ultimate-guitar.com/tab/4265917,Downloaded
